公司代號,公司名稱,出表日期,上月比較增減(%),上月營收,去年同月增減(%),去年當月營收,當月營收,產業別,累計營業收入-前期比較增減(%),累計營業收入-去年累計營收,累計營業收入-當月累計營收,資料年月,備註
6865,偉康科技,1131211,31.270239067383773,35513,8.963840777879064,42783,46618,數位雲端,2.6418416242192815,430533,441907,11311,-
6869,雲豹能源,1131117,82.98058579284032,222775,3.707029898438931,393064,407635,綠能環保,-48.87682367082159,5949333,3041488,11310,-
6870,騰雲,1131211,4.112938767966562,70339,68.12911816699956,43557,73232,數位雲端,24.071358698237333,483529,599921,11311,本月合併營收相較於去年同期有所成長，主因係海外市場新訂單增加，及目前既有客戶追加訂單所致。
6873,泓德能源,1131117,24.133225526213877,764328,337.6112725427794,216810,948785,綠能環保,114.66277190632808,3237512,6949733,11310,本月及本年營收較去年同期營收增加，主要係因承接工程案件依進度認列收入所致
6874,倍力,1131211,41.56885604902872,63473,51.42650107008645,59341,89858,資訊服務業,18.594861100580612,1437623,1704947,11311,客戶需求調整
6875,國邑*,1131211,-100.0,112630,,0,0,生技醫療業,-48.12368839427663,314500,163151,11311,本年累計較去年同期減少，係因前期認列授權簽約金收入較高所致。
6877,鏵友益,1131211,210.79223928860145,24740,328.0942041089026,17961,76890,其他電子業,27.38923706681444,326621,416080,11311,本期營收增加，主要係因出貨增加所致。
6881,潤德,1131211,7.79291553133515,190840,18.907295869411914,173002,205712,其他,34.68824069971123,1345012,1811573,11311,-
6890,來億-KY,1131117,42.6431129944513,2516805,18.76591656593205,3022794,3590049,運動休閒,33.2336236133214,22838295,30428288,11310,-
6894,衛司特,1131211,31.79941793207584,82121,24.438082755607674,86979,108235,綠能環保,24.04014984700735,699380,867512,11311,-
6895,宏碩系統,1131211,74.86646409723333,31265,44.70765728805484,37781,54672,半導體業,-4.549460019180786,359735,343369,11311,-
6899,創為精密,1131211,8.609367315647873,69134,-19.812469296653067,93638,75086,光電業,-10.958055883025523,957679,852736,11311,-
